"","Season.Start","TVR","NULL.TVR","TVR.delta","Max.95","Min.95","Season.num","NBA","ABA","BAA","WNBA","min_season","years_since_pro","Teams","NumGames","Num_SubLeagues"
"1",1946,0.187010608697595,0.244918966553986,-0.0579083578563907,-0.0468085106382979,-0.0765027322404372,1,0,0,1,0,0,0,11,60,2
"2",1947,0.188945614802216,0.263698909596924,-0.0747532947947082,0,-0.0918803418803419,2,0,0,1,0,1,0,8,48,2
"3",1948,0.187823288043037,0.245669149713235,-0.0578458616701981,-0.0393013100436681,-0.0909090909090909,3,0,0,1,0,2,0,12,60,2
"4",1949,0.173038655791998,0.244843912963819,-0.071805257171821,-0.0504885993485342,-0.0843621399176955,1,1,0,0,0,3,3,17,68,3
"5",1950,0.228027600828029,0.244400196693575,-0.0163725958655455,0,-0.0491803278688524,2,1,0,0,0,4,3,11,66,2
"6",1951,0.221087913896811,0.254778505588673,-0.0336905916918614,0.0512820512820513,-0.048951048951049,3,1,0,0,0,5,3,10,66,2
"7",1952,0.164712302834781,0.24790946001118,-0.0831971571763996,-0.0733333333333333,-0.100929614873838,4,1,0,0,0,6,3,10,70,2
"8",1953,0.199298883563332,0.252592581901381,-0.0532936983380492,-0.0338983050847458,-0.0596693026599569,5,1,0,0,0,7,3,9,72,2
"9",1954,0.242987459802288,0.269219188752877,-0.026231728950589,-0.0148635477582846,-0.0718562874251497,6,1,0,0,0,8,3,8,72,2
"10",1955,0.256665487333403,0.234843720547887,0.0218217667855156,0.0714285714285714,-0.00410509031198686,7,1,0,0,0,9,3,8,72,2
"11",1956,0.247470101980074,0.244855581695671,0.00261452028440364,0.0238095238095238,-0.0390243902439024,8,1,0,0,0,10,3,8,72,2
"12",1957,0.220503516618824,0.231635015603505,-0.011131498984681,0.0225988700564972,-0.0233644859813084,9,1,0,0,0,11,3,8,72,2
"13",1958,0.211332742969425,0.255720283820128,-0.0443875408507039,0,-0.0562372188139059,10,1,0,0,0,12,3,8,72,2
"14",1959,0.159945324648615,0.239021927763283,-0.0790766031146683,-0.0252100840336134,-0.096309963099631,11,1,0,0,0,13,3,8,75,2
"15",1960,0.205957636344775,0.246333198461034,-0.0403755621162586,-0.0279503105590062,-0.0787037037037037,12,1,0,0,0,14,3,8,79,2
"16",1961,0.194185210234954,0.240067306087596,-0.0458820958526421,-0.0345394736842105,-0.0786516853932584,13,1,0,0,0,15,3,9,80,2
"17",1962,0.187818526995991,0.241316393983291,-0.0534978669872995,-0.034816247582205,-0.0700712589073634,14,1,0,0,0,16,3,9,80,2
"18",1963,0.194763275516506,0.261384583770001,-0.0666213082534947,-0.0504439063761098,-0.116945107398568,15,1,0,0,0,17,3,9,80,2
"19",1964,0.19765419347433,0.24934538654058,-0.0516911930662506,0.0389610389610389,-0.0704761904761905,16,1,0,0,0,18,3,9,80,2
"20",1965,0.209650113900923,0.248189028096074,-0.0385389141951512,-0.0287958115183246,-0.0550239234449761,17,1,0,0,0,19,3,9,80,2
"21",1966,0.1699695955905,0.249595245715933,-0.0796256501254332,-0.0522388059701493,-0.09375,18,1,0,0,0,20,3,10,81,2
"22",1967,0.18527836309675,0.246954512651332,-0.061676149554582,-0.0523560209424084,-0.0734341252699784,19,1,0,0,0,21,3,12,82,2
"23",1967,0.18527836309675,0.246954512651332,-0.061676149554582,-0.0523560209424084,-0.0734341252699784,19,1,0,0,0,21,3,11,78,2
"24",1967,0.205724049612879,0.24631449040973,-0.0405904407968503,-0.0309278350515464,-0.0756302521008403,1,0,1,0,0,21,21,12,82,2
"25",1967,0.205724049612879,0.24631449040973,-0.0405904407968503,-0.0309278350515464,-0.0756302521008403,1,0,1,0,0,21,21,11,78,2
"26",1968,0.181567383481495,0.254154324011364,-0.0725869405298694,-0.0504731861198738,-0.0948275862068965,20,1,0,0,0,22,3,14,82,2
"27",1968,0.181567383481495,0.254154324011364,-0.0725869405298694,-0.0504731861198738,-0.0948275862068965,20,1,0,0,0,22,3,11,78,2
"28",1968,0.192622719788149,0.256499088780672,-0.0638763689925231,-0.0499706055261611,-0.13768115942029,2,0,1,0,0,22,21,14,82,2
"29",1968,0.192622719788149,0.256499088780672,-0.0638763689925231,-0.0499706055261611,-0.13768115942029,2,0,1,0,0,22,21,11,78,2
"30",1969,0.213411597752759,0.248603835491054,-0.035192237738295,0.018140589569161,-0.0563250230840259,3,0,1,0,0,23,21,11,84,2
"31",1969,0.213411597752759,0.248603835491054,-0.035192237738295,0.018140589569161,-0.0563250230840259,3,0,1,0,0,23,21,14,82,2
"32",1969,0.220718187112896,0.258889373822049,-0.0381711867091533,-0.0273381294964029,-0.0532212885154062,21,1,0,0,0,23,3,11,84,2
"33",1969,0.220718187112896,0.258889373822049,-0.0381711867091533,-0.0273381294964029,-0.0532212885154062,21,1,0,0,0,23,3,14,82,2
"34",1970,0.213803453684648,0.246208045450245,-0.0324045917655971,-0.0238095238095238,-0.0609243697478992,4,0,1,0,0,24,21,11,84,2
"35",1970,0.213803453684648,0.246208045450245,-0.0324045917655971,-0.0238095238095238,-0.0609243697478992,4,0,1,0,0,24,21,17,82,4
"36",1970,0.192148907513831,0.258181307415209,-0.0660323999013779,-0.0405405405405405,-0.0827586206896552,22,1,0,0,0,24,3,11,84,2
"37",1970,0.192148907513831,0.258181307415209,-0.0660323999013779,-0.0405405405405405,-0.0827586206896552,22,1,0,0,0,24,3,17,82,4
"38",1971,0.150596122631407,0.24281917647424,-0.0922230538428334,-0.0798479087452471,-0.107063197026022,23,1,0,0,0,25,3,17,82,4
"39",1971,0.150596122631407,0.24281917647424,-0.0922230538428334,-0.0798479087452471,-0.107063197026022,23,1,0,0,0,25,3,11,84,2
"40",1971,0.201615639645254,0.255931888765389,-0.0543162491201345,-0.0126315789473684,-0.0707646176911544,5,0,1,0,0,25,21,17,82,4
"41",1971,0.201615639645254,0.255931888765389,-0.0543162491201345,-0.0126315789473684,-0.0707646176911544,5,0,1,0,0,25,21,11,84,2
"42",1972,0.152663462608442,0.262617014839335,-0.109953552230893,-0.0965250965250966,-0.160958904109589,24,1,0,0,0,26,3,17,82,4
"43",1972,0.152663462608442,0.262617014839335,-0.109953552230893,-0.0965250965250966,-0.160958904109589,24,1,0,0,0,26,3,10,84,2
"44",1972,0.195393840480793,0.251840298215055,-0.0564464577342626,-0.031496062992126,-0.0880829015544042,6,0,1,0,0,26,21,17,82,4
"45",1972,0.195393840480793,0.251840298215055,-0.0564464577342626,-0.031496062992126,-0.0880829015544042,6,0,1,0,0,26,21,10,84,2
"46",1973,0.212412661221316,0.235946888900102,-0.023534227678786,0.00215982721382288,-0.0364698770904695,7,0,1,0,0,27,21,17,82,4
"47",1973,0.212412661221316,0.235946888900102,-0.023534227678786,0.00215982721382288,-0.0364698770904695,7,0,1,0,0,27,21,10,84,2
"48",1973,0.214329944019655,0.246584325579558,-0.0322543815599037,0,-0.0505030181086519,25,1,0,0,0,27,3,17,82,4
"49",1973,0.214329944019655,0.246584325579558,-0.0322543815599037,0,-0.0505030181086519,25,1,0,0,0,27,3,10,84,2
"50",1974,0.170094827399774,0.266280152766233,-0.0961853253664591,-0.0853658536585366,-0.132743362831858,8,0,1,0,0,28,21,10,84,2
"51",1974,0.170094827399774,0.266280152766233,-0.0961853253664591,-0.0853658536585366,-0.132743362831858,8,0,1,0,0,28,21,18,82,4
"52",1974,0.215291331374725,0.24528941775226,-0.0299980863775357,-0.00520833333333334,-0.0414312617702448,26,1,0,0,0,28,3,10,84,2
"53",1974,0.215291331374725,0.24528941775226,-0.0299980863775357,-0.00520833333333334,-0.0414312617702448,26,1,0,0,0,28,3,18,82,4
"54",1975,0.234604618135947,0.252709980219161,-0.0181053620832144,0.0153846153846154,-0.0306425041186161,27,1,0,0,0,29,3,18,82,4
"55",1976,0.234174220447648,0.253383300649754,-0.0192090802021058,0,-0.0316957210776545,28,1,0,0,0,30,3,22,82,4
"56",1977,0.237482769266667,0.257368208253348,-0.0198854389866813,-0.00588235294117648,-0.0318181818181818,29,1,0,0,0,31,3,22,82,4
"57",1978,0.223907613991569,0.248290986194769,-0.0243833722032002,0.0441176470588235,-0.0411493437389145,30,1,0,0,0,32,3,22,82,4
"58",1979,0.210226364184134,0.255546389297642,-0.0453200251135079,0.020979020979021,-0.0636833046471601,31,1,0,0,0,33,3,22,82,4
"59",1980,0.180261227741201,0.252065165520785,-0.0718039377795843,-0.0618556701030928,-0.102564102564103,32,1,0,0,0,34,3,23,82,4
